Accession,Description,Norm Avg Ratio
P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",1.07425518
Q9NVI1,Fanconi anemia group I protein,1.074200701
Q9P287,BRCA2 and CDKN1A-interacting protein,1.073588617
O00170,AH receptor-interacting protein,1.073408526
Q7L2E3,Putative ATP-dependent RNA helicase DHX30,1.073394171
O00159,Myosin-Ic,1.073294351
Q96JC1,Vam6/Vps39-like protein,1.0732415
P11940,Polyadenylate-binding protein 1,1.072741488
Q13148,TAR DNA-binding protein 43,1.072696902
Q8N2F6,Armadillo repeat-containing protein 10,1.072470083
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",1.072115368
P34896,"Serine hydroxymethyltransferase, cytosolic",1.071875537
Q9BYD1,"39S ribosomal protein L13, mitochondrial",1.071825075
P46108,Adapter molecule crk,1.071786905
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",1.071716016
Q13158,Protein FADD,1.071519839
Q15645,Pachytene checkpoint protein 2 homolog,1.071314745
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1.071163153
Q9Y3A4,Ribosomal RNA-processing protein 7 homolog A,1.070961928
Q9BSV6,tRNA-splicing endonuclease subunit Sen34,1.070591344
Q96MW1,Coiled-coil domain-containing protein 43,1.070350518
Q86XI2,Condensin-2 complex subunit G2,1.070252431
Q9H0S4,Probable ATP-dependent RNA helicase DDX47,1.070243808
Q92797,Symplekin,1.070068566
Q14008,Cytoskeleton-associated protein 5,1.070003924
P49721,Proteasome subunit beta type-2,1.069936611
P83731,60S ribosomal protein L24,1.069905836
Q9GZS3,WD repeat-containing protein 61,1.069792711
Q14137,Ribosome biogenesis protein BOP1,1.069745327
P62805,Histone H4,1.069566984
Q9C0C2,182 kDa tankyrase-1-binding protein,1.069363825
Q96P11,Putative methyltransferase NSUN5,1.0691519
Q9HCE1,Putative helicase MOV-10,1.069130015
Q15813,Tubulin-specific chaperone E,1.068158075
P63098,Calcineurin subunit B type 1,1.068133975
P61764,Syntaxin-binding protein 1,1.067293112
O15173,Membrane-associated progesterone receptor component 2,1.067239609
Q9UBP6,tRNA (guanine-N(7)-)-methyltransferase,1.066891581
P60709,"Actin, cytoplasmic 1",1.066762384
Q13162,Peroxiredoxin-4,1.066758083
Q8TEQ6,Gem-associated protein 5,1.066169552
O15258,Protein RER1,1.065881816
Q8WUM0,Nuclear pore complex protein Nup133,1.065779032
Q15021,Condensin complex subunit 1,1.065673327
O75534,Cold shock domain-containing protein E1,1.065358092
O43772,Mitochondrial carnitine/acylcarnitine carrier protein,1.065001406
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein,1.06461438
P53004,Biliverdin reductase A,1.06422502
P78563,Double-stranded RNA-specific editase 1,1.0641768
Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50,1.064012455
Q02818,Nucleobindin-1,1.063619248
Q12849,G-rich sequence factor 1,1.063181452
Q9Y5X3,Sorting nexin-5,1.062620528
O15355,Protein phosphatase 1G,1.062602694
Q5VT52,Regulation of nuclear pre-mRNA domain-containing protein 2,1.062598212
Q9UL25,Ras-related protein Rab-21,1.062549191
Q06203,Amidophosphoribosyltransferase,1.062461057
P63010,AP-2 complex subunit beta,1.062326262
Q9P000,COMM domain-containing protein 9,1.062308428
P47712,Cytosolic phospholipase A2,1.062133952
Q9H3K6,BolA-like protein 2,1.061996328
Q7Z7H5,Transmembrane emp24 domain-containing protein 4,1.061954993
Q9Y295,Developmentally-regulated GTP-binding protein 1,1.061853653
Q14683,Structural maintenance of chromosomes protein 1A,1.061809068
P17980,26S protease regulatory subunit 6A,1.061737731
Q9BVI4,Nucleolar complex protein 4 homolog,1.061541496
Q15369,Transcription elongation factor B polypeptide 1,1.061452382
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,1.06136321
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",1.061117445
Q13098,COP9 signalosome complex subunit 1,1.060944105
Q9NU22,Midasin,1.06080309
Q8WUA2,Peptidyl-prolyl cis-trans isomerase-like 4,1.060123033
P68400,Casein kinase II subunit alpha,1.059948612
Q14146,Unhealthy ribosome biogenesis protein 2 homolog,1.059662553
P14923,Junction plakoglobin,1.059374687
P49915,GMP synthase [glutamine-hydrolyzing],1.059227467
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",1.059062587
Q99729,Heterogeneous nuclear ribonucleoprotein A/B,1.059036188
Q12996,Cleavage stimulation factor subunit 3,1.058849407
P61803,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,1.05880399
Q9H936,Mitochondrial glutamate carrier 1,1.058767939
Q99471,Prefoldin subunit 5,1.058671395
Q9HAV4,Exportin-5,1.05855431
Q6IAA8,Ragulator complex protein LAMTOR1,1.058293385
Q9HCJ1,Progressive ankylosis protein homolog,1.058262763
P61106,Ras-related protein Rab-14,1.05811737
Q8NI27,THO complex subunit 2,1.057618009
Q9Y6Y8,SEC23-interacting protein,1.057448584
P30520,Adenylosuccinate synthetase isozyme 2,1.05710902
Q9BQ95,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",1.056699544
P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",1.056652266
Q01105,Protein SET,1.056592538
Q96EK6,Glucosamine 6-phosphate N-acetyltransferase,1.056438316
P61160,Actin-related protein 2,1.056166595
O75369,Filamin-B,1.056155458
Q56VL3,OCIA domain-containing protein 2,1.055512887
Q9Y6V7,Probable ATP-dependent RNA helicase DDX49,1.055415594
P18621,60S ribosomal protein L17,1.055040955
Q06265,Exosome complex component RRP45,1.054992591
Q14376,UDP-glucose 4-epimerase,1.054678359
O00178,GTP-binding protein 1,1.054372169
P42785,Lysosomal Pro-X carboxypeptidase,1.054023868
Q96P16,Regulation of nuclear pre-mRNA domain-containing protein 1A,1.053634722
Q9NR09,Baculoviral IAP repeat-containing protein 6,1.053623821
Q15393,Splicing factor 3B subunit 3,1.053614211
P11047,Laminin subunit gamma-1,1.053396379
P51149,Ras-related protein Rab-7a,1.053168354
O00154,Cytosolic acyl coenzyme A thioester hydrolase,1.0530881
Q8NB16,Mixed lineage kinase domain-like protein,1.053080346
Q8NB49,Probable phospholipid-transporting ATPase IG,1.052865171
P46783,40S ribosomal protein S10,1.052818196
P56537,Eukaryotic translation initiation factor 6,1.052814329
Q8N3U4,Cohesin subunit SA-2,1.052729767
O43237,Cytoplasmic dynein 1 light intermediate chain 2,1.052676873
Q13620,Cullin-4B,1.052556771
Q9Y678,Coatomer subunit gamma,1.052290209
P22392,Nucleoside diphosphate kinase B,1.051849217
P41091,Eukaryotic translation initiation factor 2 subunit 3,1.051837041
Q9Y4W6,AFG3-like protein 2,1.051671096
Q9BUQ8,Probable ATP-dependent RNA helicase DDX23,1.051661356
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,1.051478712
Q8TED0,U3 small nucleolar RNA-associated protein 15 homolog,1.051171315
P98198,Probable phospholipid-transporting ATPase ID,1.051126797
P15311,Ezrin,1.05109289
P42224,Signal transducer and activator of transcription 1-alpha/beta,1.051058403
Q658Y4,Protein FAM91A1,1.050615925
P50336,Protoporphyrinogen oxidase,1.050570415
O75663,TIP41-like protein,1.050546303
O75947,"ATP synthase subunit d, mitochondrial",1.05048175
Q9Y333,U6 snRNA-associated Sm-like protein LSm2,1.050405353
P45973,Chromobox protein homolog 5,1.049940249
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,1.049762005
P60953,Cell division control protein 42 homolog,1.049753087
Q9Y263,Phospholipase A-2-activating protein,1.049728651
P14866,Heterogeneous nuclear ribonucleoprotein L,1.049565827
Q9H2G2,STE20-like serine/threonine-protein kinase,1.049465601
P51398,"28S ribosomal protein S29, mitochondrial",1.049449904
Q8WUM4,Programmed cell death 6-interacting protein,1.049418893
Q13505,Metaxin-1,1.049248659
Q9UBV8,Peflin,1.04893271
P25685,DnaJ homolog subfamily B member 1,1.048843539
Q9H4G0,Band 4.1-like protein 1,1.048836353
Q9Y266,Nuclear migration protein nudC,1.048787693
Q9UHD8,Septin-9,1.048552011
Q9Y2Q5,Ragulator complex protein LAMTOR2,1.048085581
Q08211,ATP-dependent RNA helicase A,1.048000768
O60841,Eukaryotic translation initiation factor 5B,1.047818067
Q9NR50,Translation initiation factor eIF-2B subunit gamma,1.047534815
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,1.047084498
Q7Z3B4,Nucleoporin p54,1.046730175
Q9BZH6,WD repeat-containing protein 11,1.046517459
Q96DX5,Ankyrin repeat and SOCS box protein 9,1.046477714
Q9Y3F4,Serine-threonine kinase receptor-associated protein,1.045963301
Q16222,UDP-N-acetylhexosamine pyrophosphorylase,1.045800544
Q13573,SNW domain-containing protein 1,1.045660118
Q9Y2T3,Guanine deaminase,1.045659419
P56937,3-keto-steroid reductase,1.045626711
Q5XKP0,Protein QIL1,1.04556953
P45974,Ubiquitin carboxyl-terminal hydrolase 5,1.045410438
Q8N3D4,EH domain-binding protein 1-like protein 1,1.04539278
P46937,Yorkie homolog,1.045292135
P78347,General transcription factor II-I,1.045285598
P61421,V-type proton ATPase subunit d 1,1.04527668
O14974,Protein phosphatase 1 regulatory subunit 12A,1.045204247
P05023,Sodium/potassium-transporting ATPase subunit alpha-1,1.044990504
Q9Y580,RNA-binding protein 7,1.044884965
Q8WWC4,"Uncharacterized protein C2orf47, mitochondrial",1.044652283
P61026,Ras-related protein Rab-10,1.044456303
P98175,RNA-binding protein 10,1.044279409
Q96RT1,Protein LAP2,1.044276344
Q13363,C-terminal-binding protein 1,1.044117452
Q9NUQ8,ATP-binding cassette sub-family F member 3,1.04410848
P33991,DNA replication licensing factor MCM4,1.044021076
P42771,"Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3",1.044003438
P49591,"Seryl-tRNA synthetase, cytoplasmic",1.043992612
P49321,Nuclear autoantigenic sperm protein,1.043689429
Q12906,Interleukin enhancer-binding factor 3,1.043644843
Q92905,COP9 signalosome complex subunit 5,1.043555671
Q92974,Rho guanine nucleotide exchange factor 2,1.04345571
Q99615,DnaJ homolog subfamily C member 7,1.043298822
O95486,Protein transport protein Sec24A,1.0432341
Q9UBB9,Tuftelin-interacting protein 11,1.043207903
P26885,Peptidyl-prolyl cis-trans isomerase FKBP2,1.042931471
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",1.042850968
Q8IY67,Ribonucleoprotein PTB-binding 1,1.042423194
P42285,Superkiller viralicidic activity 2-like 2,1.041695516
P61966,AP-1 complex subunit sigma-1A,1.04156292
Q9UK59,Lariat debranching enzyme,1.041558231
P21281,"V-type proton ATPase subunit B, brain isoform",1.041219379
P11142,Heat shock cognate 71 kDa protein,1.041020122
Q9Y4P1,Cysteine protease ATG4B,1.040942948
P04083,Annexin A1,1.040497646
Q15428,Splicing factor 3A subunit 2,1.040389352
P08397,Porphobilinogen deaminase,1.040104736
O00203,AP-3 complex subunit beta-1,1.040022238
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,1.039932605
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1,1.039844848
Q93009,Ubiquitin carboxyl-terminal hydrolase 7,1.039799712
Q9Y5P6,Mannose-1-phosphate guanyltransferase beta,1.039794213
P00441,Superoxide dismutase [Cu-Zn],1.039783719
P63279,SUMO-conjugating enzyme UBC9,1.039781703
O43447,Peptidyl-prolyl cis-trans isomerase H,1.039652469
P41240,Tyrosine-protein kinase CSK,1.039489453
P61201,COP9 signalosome complex subunit 2,1.039471619
O75347,Tubulin-specific chaperone A,1.039336468
Q13765,Nascent polypeptide-associated complex subunit alpha,1.039132767
Q96CN7,Isochorismatase domain-containing protein 1,1.039113543
Q9BQG0,Myb-binding protein 1A,1.038883087
Q5RKV6,Exosome complex component MTR3,1.038643035
Q15397,Pumilio domain-containing protein KIAA0020,1.038593346
Q92598,Heat shock protein 105 kDa,1.038329065
Q01780,Exosome component 10,1.038322168
P13667,Protein disulfide-isomerase A4,1.038004779
P46778,60S ribosomal protein L21,1.037866533
P62280,40S ribosomal protein S11,1.037545516
P68036,Ubiquitin-conjugating enzyme E2 L3,1.037517078
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",1.037481143
Q5VTL8,Pre-mRNA-splicing factor 38B,1.037455284
P15880,40S ribosomal protein S2,1.037446792
Q8WWY3,U4/U6 small nuclear ribonucleoprotein Prp31,1.037411758
P40939,"Trifunctional enzyme subunit alpha, mitochondrial",1.037393924
Q14156,Protein EFR3 homolog A,1.03719992
O75376,Nuclear receptor corepressor 1,1.037197439
Q9H9B4,Sideroflexin-1,1.037162078
P51148,Ras-related protein Rab-5C,1.037046566
Q15365,Poly(rC)-binding protein 1,1.037010487
P49736,DNA replication licensing factor MCM2,1.03693915
O00625,Pirin,1.036813926
Q8N684,Cleavage and polyadenylation specificity factor subunit 7,1.036787489
P43897,"Elongation factor Ts, mitochondrial",1.036734055
P24928,DNA-directed RNA polymerase II subunit RPB1,1.036483412
Q9NYL9,Tropomodulin-3,1.036359535
P49770,Translation initiation factor eIF-2B subunit beta,1.036303331
Q8TBQ9,Protein kish-A,1.036210129
Q9BXS5,AP-1 complex subunit mu-1,1.036127689
Q05639,Elongation factor 1-alpha 2,1.035797755
P49959,Double-strand break repair protein MRE11A,1.035631329
Q9NTJ3,Structural maintenance of chromosomes protein 4,1.035575688
Q15437,Protein transport protein Sec23B,1.035533748
Q6PD62,RNA polymerase-associated protein CTR9 homolog,1.035507533
P55327,Tumor protein D52,1.035423299
Q8WX92,Negative elongation factor B,1.034906041
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",1.034898924
Q9H1A4,Anaphase-promoting complex subunit 1,1.034790118
Q9BUN8,Derlin-1,1.034451266
P18858,DNA ligase 1,1.03434426
Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",1.034249746
P23588,Eukaryotic translation initiation factor 4B,1.034182951
Q9Y265,RuvB-like 1,1.034085877
Q15366,Poly(rC)-binding protein 2,1.034058912
Q9H3P2,Negative elongation factor A,1.033983158
Q15257,Serine/threonine-protein phosphatase 2A activator,1.033934072
O43399,Tumor protein D54,1.03378248
Q9GZZ9,Ubiquitin-like modifier-activating enzyme 5,1.033757555
O15084,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,1.033698031
Q14444,Caprin-1,1.0335328
P07437,Tubulin beta chain,1.0334047
P05386,60S acidic ribosomal protein P1,1.033338445
O43795,Myosin-Ib,1.033248442
P62266,40S ribosomal protein S23,1.033238534
O15213,WD repeat-containing protein 46,1.032986966
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",1.032962103
P00568,Adenylate kinase isoenzyme 1,1.032913813
Q96AC1,Fermitin family homolog 2,1.032908359
P61978,Heterogeneous nuclear ribonucleoprotein K,1.032859406
Q9BRX2,Protein pelota homolog,1.032630996
P20340,Ras-related protein Rab-6A,1.032611
Q9Y3B8,"Oligoribonuclease, mitochondrial",1.0325965
Q9UJZ1,Stomatin-like protein 2,1.032525163
Q15269,Periodic tryptophan protein 2 homolog,1.032400323
P52789,Hexokinase-2,1.03234682
P55072,Transitional endoplasmic reticulum ATPase,1.032301849
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase,1.032277787
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",1.031829625
P40763,Signal transducer and activator of transcription 3,1.031043125
P05141,ADP/ATP translocase 2,1.030946988
Q99828,Calcium and integrin-binding protein 1,1.030919367
Q15477,Helicase SKI2W,1.030879942
O94832,Myosin-Id,1.030768485
A1L0T0,Acetolactate synthase-like protein,1.030766379
Q9H501,ESF1 homolog,1.030723899
Q07955,Serine/arginine-rich splicing factor 1,1.030714982
P21283,V-type proton ATPase subunit C 1,1.030661479
P29084,Transcription initiation factor IIE subunit beta,1.030613044
Q92665,"28S ribosomal protein S31, mitochondrial",1.030518357
Q96P70,Importin-9,1.030104352
Q9Y2A7,Nck-associated protein 1,1.030053379
Q8IXI1,Mitochondrial Rho GTPase 2,1.030019445
Q96DG6,Carboxymethylenebutenolidase homolog,1.029842893
P19367,Hexokinase-1,1.029803845
Q86WB0,Nuclear-interacting partner of ALK,1.029765401
P62241,40S ribosomal protein S8,1.029760809
Q9BSL1,Ubiquitin-associated domain-containing protein 1,1.029729088
Q9H8Y8,Golgi reassembly-stacking protein 2,1.029725179
Q9Y5Q8,General transcription factor 3C polypeptide 5,1.029707345
P27695,DNA-(apurinic or apyrimidinic site) lyase,1.029662759
Q14684,Ribosomal RNA processing protein 1 homolog B,1.029588757
P30085,UMP-CMP kinase,1.029498959
P62906,60S ribosomal protein L10a,1.029465642
P48556,26S proteasome non-ATPase regulatory subunit 8,1.029386328
Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog,1.029342648
O76003,Glutaredoxin-3,1.029341602
Q13435,Splicing factor 3B subunit 2,1.029332825
Q6PKG0,La-related protein 1,1.029243653
Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2,1.029154278
O75934,Pre-mRNA-splicing factor SPF27,1.029138722
P13984,General transcription factor IIF subunit 2,1.029129147
P49354,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,1.028806713
P49366,Deoxyhypusine synthase,1.028760542
Q8WZA0,Protein LZIC,1.028502914
O14929,Histone acetyltransferase type B catalytic subunit,1.028501567
O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",1.028450027
P29144,Tripeptidyl-peptidase 2,1.02844111
Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1,1.027955306
Q92890,Ubiquitin fusion degradation protein 1 homolog,1.027914999
O76071,Probable cytosolic iron-sulfur protein assembly protein CIAO1,1.027799076
Q9ULC4,Malignant T cell-amplified sequence 1,1.027593981
P09525,Annexin A4,1.027522414
Q16891,Mitochondrial inner membrane protein,1.027521831
P48643,T-complex protein 1 subunit epsilon,1.027446117
P78371,T-complex protein 1 subunit beta,1.027311802
Q96EP5,DAZ-associated protein 1,1.026934113
O00487,26S proteasome non-ATPase regulatory subunit 14,1.02681653
O43504,Hepatitis B virus X-interacting protein,1.026739873
Q14258,E3 ubiquitin/ISG15 ligase TRIM25,1.026645514
P15559,NAD(P)H dehydrogenase [quinone] 1,1.02656851
Q9Y3C1,Nucleolar protein 16,1.02644367
O60493,Sorting nexin-3,1.026345581
P53992,Protein transport protein Sec24C,1.0261182
Q6ZMU5,Tripartite motif-containing protein 72,1.026074409
Q7Z3C6,Autophagy-related protein 9A,1.025810552
Q96A33,Coiled-coil domain-containing protein 47,1.025458412
P43007,Neutral amino acid transporter A,1.025433004
Q9P2I0,Cleavage and polyadenylation specificity factor subunit 2,1.025195269
P09972,Fructose-bisphosphate aldolase C,1.025106098
Q8NFH4,Nucleoporin Nup37,1.025046445
P20073,Annexin A7,1.024947848
P62273,40S ribosomal protein S29,1.024724117
Q9NXF1,Testis-expressed sequence 10 protein,1.024718046
Q9Y4C8,Probable RNA-binding protein 19,1.024624572
Q9NY33,Dipeptidyl peptidase 3,1.024535401
O60749,Sorting nexin-2,1.024276224
Q15637,Splicing factor 1,1.024258969
P30044,"Peroxiredoxin-5, mitochondrial",1.023929035
O43847,Nardilysin,1.023888481
P49643,DNA primase large subunit,1.023745869
Q13619,Cullin-4A,1.023706106
Q96RU2,Ubiquitin carboxyl-terminal hydrolase 28,1.023432075
P14550,Alcohol dehydrogenase [NADP+],1.023376172
Q9Y277,Voltage-dependent anion-selective channel protein 3,1.023346239
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",1.023074582
Q14651,Plastin-1,1.022823309
P20020,Plasma membrane calcium-transporting ATPase 1,1.022751926
P54105,Methylosome subunit pICln,1.022681908
P61960,Ubiquitin-fold modifier 1,1.022591049
Q00341,Vigilin,1.022560054
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,1.022422037
Q9NWT1,p21-activated protein kinase-interacting protein 1,1.02228828
P84098,60S ribosomal protein L19,1.022154523
Q8IZL8,"Proline-, glutamic acid- and leucine-rich protein 1",1.022136689
P23528,Cofilin-1,1.022032499
P11216,"Glycogen phosphorylase, brain form",1.02178892
O43264,Centromere/kinetochore protein zw10 homolog,1.021753251
Q15020,Squamous cell carcinoma antigen recognized by T-cells 3,1.02153924
Q15181,Inorganic pyrophosphatase,1.021197012
P61513,60S ribosomal protein L37a,1.021182554
P07741,Adenine phosphoribosyltransferase,1.021153006
P07602,Proactivator polypeptide,1.021097184
Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,1.021036743
Q9Y5L0,Transportin-3,1.020734952
P55809,"Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial",1.020576188
O75431,Metaxin-2,1.020495625
Q13347,Eukaryotic translation initiation factor 3 subunit I,1.020442034
P61769,Beta-2-microglobulin,1.020317591
Q9H0A0,N-acetyltransferase 10,1.019855858
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",1.019808317
P33176,Kinesin-1 heavy chain,1.019702308
Q14CX7,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",1.019666639
P82675,"28S ribosomal protein S5, mitochondrial",1.019545659
O75533,Splicing factor 3B subunit 1,1.019505829
Q9UNX4,WD repeat-containing protein 3,1.019442163
P61221,ATP-binding cassette sub-family E member 1,1.01938618
Q969X6,Cirhin,1.019375997
P07814,Bifunctional aminoacyl-tRNA synthetase,1.019345622
P21333,Filamin-A,1.019220782
A6NHL2,Tubulin alpha chain-like 3,1.019180726
P39023,60S ribosomal protein L3,1.019078108
O60613,15 kDa selenoprotein,1.019042383
O76021,Ribosomal L1 domain-containing protein 1,1.018980019
P49790,Nuclear pore complex protein Nup153,1.018872126
Q99575,Ribonucleases P/MRP protein subunit POP1,1.018824089
Q9BXW9,Fanconi anemia group D2 protein,1.018813489
P54578,Ubiquitin carboxyl-terminal hydrolase 14,1.018730339
Q13263,Transcription intermediary factor 1-beta,1.018727861
P23193,Transcription elongation factor A protein 1,1.018697106
P30050,60S ribosomal protein L12,1.018650085
Q92945,Far upstream element-binding protein 2,1.018544656
O95816,BAG family molecular chaperone regulator 2,1.018516328
P49756,RNA-binding protein 25,1.018197495
O60762,Dolichol-phosphate mannosyltransferase,1.01819531
O00148,ATP-dependent RNA helicase DDX39A,1.018159642
O60832,H/ACA ribonucleoprotein complex subunit 4,1.018141808
Q9NQW7,Xaa-Pro aminopeptidase 1,1.017990216
P62312,U6 snRNA-associated Sm-like protein LSm6,1.017926703
O14734,Acyl-coenzyme A thioesterase 8,1.01786669
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",1.017749453
O94903,Proline synthase co-transcribed bacterial homolog protein,1.017746382
Q15185,Prostaglandin E synthase 3,1.017722702
Q0VDF9,Heat shock 70 kDa protein 14,1.017200828
P28072,Proteasome subunit beta type-6,1.017125815
Q13085,Acetyl-CoA carboxylase 1,1.017123669
P50395,Rab GDP dissociation inhibitor beta,1.017108312
Q709C8,Vacuolar protein sorting-associated protein 13C,1.017000413
Q53GS9,U4/U6.U5 tri-snRNP-associated protein 2,1.016259597
Q96M27,Protein PRRC1,1.016133478
Q03519,Antigen peptide transporter 2,1.016101008
Q16851,UTP--glucose-1-phosphate uridylyltransferase,1.016044908
Q68CQ4,Digestive organ expansion factor homolog,1.015564824
P56545,C-terminal-binding protein 2,1.015493004
P55209,Nucleosome assembly protein 1-like 1,1.015443884
Q9UBX3,Mitochondrial dicarboxylate carrier,1.015439913
Q9BPX3,Condensin complex subunit 3,1.015250582
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,1.015017561
O60506,Heterogeneous nuclear ribonucleoprotein Q,1.014927642
Q16543,Hsp90 co-chaperone Cdc37,1.014892334
Q9BT78,COP9 signalosome complex subunit 4,1.014722085
Q9NXH9,"N(2),N(2)-dimethylguanosine tRNA methyltransferase",1.014640204
P25789,Proteasome subunit alpha type-4,1.014539281
Q9UI12,V-type proton ATPase subunit H,1.014494695
Q8IWX8,Calcium homeostasis endoplasmic reticulum protein,1.014400827
P46779,60S ribosomal protein L28,1.014332652
O75691,Small subunit processome component 20 homolog,1.014298518
O43776,"Asparaginyl-tRNA synthetase, cytoplasmic",1.014030771
P31942,Heterogeneous nuclear ribonucleoprotein H3,1.013905142
P31948,Stress-induced-phosphoprotein 1,1.013798768
Q8IWV8,E3 ubiquitin-protein ligase UBR2,1.013720354
Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",1.013638649
O00429,Dynamin-1-like protein,1.013623523
Q9Y4L1,Hypoxia up-regulated protein 1,1.013492095
Q9BVQ7,Spermatogenesis-associated protein 5-like protein 1,1.013478141
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",1.013406803
Q9Y2B0,Protein canopy homolog 2,1.013083036
P82673,"28S ribosomal protein S35, mitochondrial",1.013076869
P61081,NEDD8-conjugating enzyme Ubc12,1.013027824
P20810,Calpastatin,1.013023366
P31689,DnaJ homolog subfamily A member 1,1.012880692
Q9UQ35,Serine/arginine repetitive matrix protein 2,1.012773686
Q15029,116 kDa U5 small nuclear ribonucleoprotein component,1.012648846
Q9H2W6,"39S ribosomal protein L46, mitochondrial",1.012563447
P63261,"Actin, cytoplasmic 2",1.012532923
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase",1.012506172
O75367,Core histone macro-H2A.1,1.012367651
Q12905,Interleukin enhancer-binding factor 2,1.01222974
P14314,Glucosidase 2 subunit beta,1.012122735
P31949,Protein S100-A11,1.012043916
P09382,Galectin-1,1.012024646
P25205,DNA replication licensing factor MCM3,1.011919076
P13010,X-ray repair cross-complementing protein 5,1.01173038
Q13671,Ras and Rab interactor 1,1.011686944
Q8N8S7,Protein enabled homolog,1.01167275
Q12768,WASH complex subunit strumpellin,1.01160554
Q9NRW7,Vacuolar protein sorting-associated protein 45,1.01160523
O00567,Nucleolar protein 56,1.011552525
Q2TAY7,WD40 repeat-containing protein SMU1,1.011489617
Q15054,DNA polymerase delta subunit 3,1.011489617
O95232,Luc7-like protein 3,1.011304968
Q92878,DNA repair protein RAD50,1.011275606
Q7Z2T5,TRMT1-like protein,1.01123102
O14981,TATA-binding protein-associated factor 172,1.0111556
P30519,Heme oxygenase 2,1.011097297
O43592,Exportin-T,1.011052677
P51948,CDK-activating kinase assembly factor MAT1,1.011034633
P13489,Ribonuclease inhibitor,1.010999174
P49327,Fatty acid synthase,1.010972423
Q14C86,GTPase-activating protein and VPS9 domain-containing protein 1,1.010896044
Q15287,RNA-binding protein with serine-rich domain 1,1.010678157
P50990,T-complex protein 1 subunit theta,1.010660323
Q12874,Splicing factor 3A subunit 3,1.010508731
Q9UIA9,Exportin-7,1.010408153
P09211,Glutathione S-transferase P,1.010399781
Q99873,Protein arginine N-methyltransferase 1,1.010382693
O14744,Protein arginine N-methyltransferase 5,1.010188987
P55265,Double-stranded RNA-specific adenosine deaminase,1.010143014
P00390,"Glutathione reductase, mitochondrial",1.010096269
Q9NRG9,Aladin,1.010089625
O75179,Ankyrin repeat domain-containing protein 17,1.009946951
P08240,Signal recognition particle receptor subunit alpha,1.009945346
P60842,Eukaryotic initiation factor 4A-I,1.009844338
Q15233,Non-POU domain-containing octamer-binding protein,1.009469018
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",1.009403005
P54709,Sodium/potassium-transporting ATPase subunit beta-3,1.009394088
Q9BZZ5,Apoptosis inhibitor 5,1.009099822
Q99570,Phosphoinositide 3-kinase regulatory subunit 4,1.00906603
Q00839,Heterogeneous nuclear ribonucleoprotein U,1.008948231
